Name,Substance,Amount,Sold As,Date Published,Date Tested,Location,Size
C 230,Tapentadol,"1</li>
</ul>",Percocet 10/325,"Sep 24, 2019","Sep 23, 2019","Boynton Beach, FL",408 mg<br/>10.4 mm x 4.5 mm
C 230,Tapentadol,"1</li>
</ul>",Percocet 10/325,"Sep 24, 2019","Sep 23, 2019","Boynton Beach, FL",446 mg<br/>10.5 mm x 5.2 mm
Fake Xanax,Flualprazolam,"</li>
</ul>",Alprazolam,"Sep 23, 2019","Sep 13, 2019","Zurich, Switzerland",287.3 mg<br/>15.4 mm x 5.2 mm
Bugatti,MDMA,225.4,MDMA / Ecstasy,"Sep 23, 2019","Sep 01, 2019","Zurich, Switzerland",432.4 mg<br/>7.1 mm x 12.2 mm
Bugatti,MDMA,271.6,MDMA / Ecstasy,"Sep 23, 2019","Sep 17, 2019","Zurich, Switzerland",440.7 mg<br/>6.1 mm x 12.1 mm
Maybach,MDMA,163.2,MDMA / Ecstasy,"Sep 23, 2019","Sep 17, 2019","Zurich, Switzerland",432.7 mg<br/>12.7 mm x 9.6 mm
Bicycle Day 1943,ALD-52,"</li>
</ul>",LSD,"Sep 23, 2019","Sep 17, 2019","Zurich, Switzerland",8.9&amp;nbspmm x 8.7&amp;nbspmm
Molly,MDMA,"1</li>
</ul>",Molly,"Sep 17, 2019","Sep 17, 2019","Denver, CO",300 mg
Purple Ice Cream,MDA,"2</li>
",Ecstasy,"Sep 17, 2019","Sep 17, 2019",CO,312 mg<br/>10.3 mm x 6.0 mm
Luigi Blotter,LSD,"1</li>
</ul>",LSD,"Sep 17, 2019","Sep 17, 2019",CO,7 mg<br/>6.3 mm x 6.9 mm
LSD Blotter,LSD,"1</li>
</ul>",LSD,"Sep 17, 2019","Sep 17, 2019",Online,7 mg<br/>6.7 mm x 6.3 mm
White Tablet,Phenazepam,"1</li>
</ul>",Unclear,"Sep 17, 2019","Sep 17, 2019","Stanford, CT",200 mg<br/>9.1 mm x 2.5 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Sep 17, 2019","Sep 17, 2019","Online, Canada",100 mg<br/>13.9 mm x 5.0 mm
Esketamine,Ketamine,"1</li>
",Ketamine,"Sep 17, 2019","Sep 17, 2019","Philadelphia, PA",300 mg
Codeine,Codeine,"1</li>
</ul>",Codeine,"Sep 17, 2019","Sep 17, 2019","Online, United Kingdom",393 mg<br/>10.1 mm x 3.3 mm
Molly,MDMA,"1</li>
</ul>",MDMA,"Sep 17, 2019","Sep 17, 2019",Online,100 mg<br/>21.2 mm x 6.9 mm
Spiderman/Superman,MDMA,181.3,MDMA / Ecstasy,"Sep 16, 2019","Sep 06, 2019","Zurich, Switzerland",366 mg<br/>9.1 mm x 9.8 mm
Thio-keytone,Benzocaine,"1</li>
</ul>",Thionordazepam,"Sep 11, 2019","Sep 11, 2019","Sacramento, CA",400 mg<br/>22.8 mm x 7.5 mm
Ativan,Lorazepam,"1</li>
</ul>",Lorazepam,"Sep 11, 2019","Sep 11, 2019","Online, India",67 mg<br/>5.5 mm x 2.1 mm
S903,Alprazolam,"1</li>
",S903,"Sep 11, 2019","Sep 11, 2019",Online,371 mg<br/>15.8 mm x 4.7 mm
The Brew,Cocaine,"1</li>
",Speed,"Sep 11, 2019","Sep 11, 2019","New York, NY",300 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Sep 11, 2019","Sep 11, 2019","Seattle, WA",100 mg<br/>23.3 mm x 7.8 mm
Molly,MDMA,"1</li>
</ul>",Molly,"Sep 11, 2019","Sep 11, 2019","Los Angeles, CA",25 mg
Oxycodone,Oxycodone,"1</li>
</ul>",Oxycodone,"Sep 11, 2019","Sep 11, 2019",Online,205 mg<br/>8.1 mm x 4.5 mm
Molly,MDMA,"1</li>
</ul>",Molly,"Sep 11, 2019","Sep 11, 2019","San Francisco, CA",150 mg<br/>13.7 mm x 5.1 mm
Basscon,MDMA,"1</li>
",Ecstasy,"Sep 11, 2019","Sep 11, 2019","Los Angeles, CA",644 mg<br/>9.3 mm x 9.3 mm
Kung Fu Panda,MDMA,"1</li>
",Ecstasy,"Sep 11, 2019","Sep 11, 2019","Los Angeles, CA",573 mg<br/>12.3 mm x 9.3 mm
M367,Acetaminophen,"25</li>
",Hydrocodone 10-325,"Sep 11, 2019","Sep 11, 2019",Online,425 mg<br/>15.0 mm x 7.2 mm
V/3601,Acetaminophen,"25</li>
",Hydrocodone 10-325,"Sep 11, 2019","Sep 11, 2019",Online,424 mg<br/>13.9 mm x 6.3 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Sep 11, 2019","Sep 11, 2019","Oakland, CA",100 mg<br/>20.0 mm x 7.4 mm
Dolphin,MDMA,"1</li>
",MDMA,"Sep 11, 2019","Sep 11, 2019","San Francisco, CA",411 mg<br/>10.1 mm x 10.0 mm
Philipp Plein,MDMA,183.8,MDMA / Ecstasy,"Sep 09, 2019","Aug 14, 2019","Bern, Switzerland",487.5 mg<br/>12.8 mm x 11.3 mm
Kein Logo,MDMA,153.8,MDMA / Ecstasy,"Sep 09, 2019","Aug 30, 2019","Zurich, Switzerland",221.1 mg<br/>7.1 mm x 7.1 mm
Philipp Plein,MDMA,182.3,MDMA / Ecstasy,"Sep 09, 2019","Sep 03, 2019","Zurich, Switzerland",399.9 mg<br/>11.5 mm x 13.1 mm
Ikea Bleistift,MDMA,177.5,MDMA / Ecstasy,"Sep 09, 2019","Sep 04, 2019","Zurich, Switzerland",389.5 mg<br/>17.3 mm x 5.2 mm
Fake Xanax,Flualprazolam,"</li>
</ul>",Alprazolam,"Sep 09, 2019","Aug 27, 2019","Zurich, Switzerland",200.3 mg<br/>15.5 mm x 4.6 mm
LSD-Trip,LSD,57,LSD,"Sep 09, 2019","Sep 06, 2019","Innsbruck, Austria",-
Heineken,MDMA,195.6,MDMA / Ecstasy,"Sep 03, 2019","Aug 23, 2019","Zurich, Switzerland",439.8 mg<br/>12.2 mm x 8.0 mm
Herz,MDMA,162,MDMA / Ecstasy,"Sep 03, 2019","Aug 23, 2019","Zurich, Switzerland",369.7 mg<br/>10.7 mm x 10.1 mm
LSD Filz,LSD,155.3,LSD,"Sep 03, 2019","Aug 27, 2019","Zurich, Switzerland",6.6&amp;nbspmm x 7.1&amp;nbspmm
Red Bull,MDMA,275.5,MDMA / Ecstasy,"Sep 03, 2019","Aug 28, 2019","Zurich, Switzerland",549.8 mg<br/>7.4 mm x 12.0 mm
Skype,MDMA,157.2,MDMA / Ecstasy,"Sep 03, 2019","Aug 28, 2019","Zurich, Switzerland",495.1 mg<br/>12.0 mm x 8.9 mm
White Crystals,MDMA,"1</li>
</ul>",MDMA,"Aug 28, 2019","Aug 27, 2019",Online,200 mg
MDMA,MDMA,"1</li>
",MDMA,"Aug 28, 2019","Aug 27, 2019","Austin, TX",100 mg<br/>21.1 mm x 7.3 mm
White Powder,2C-B,"1</li>
</ul>",2C-B-FLY,"Aug 28, 2019","Aug 27, 2019",Online,100 mg
White Powder,Ketamine,"2</li>
",Not Specified,"Aug 28, 2019","Aug 27, 2019",Afghanistan,200 mg
Purple Moon,MDMA,"1</li>
</ul>",MDMA,"Aug 28, 2019","Aug 27, 2019","San Francisco, CA",10 mg
Meclonazepam,Meclonazepam,"1</li>
</ul>",Meclonazepam,"Aug 28, 2019","Aug 27, 2019","San Francisco, CA",300 mg<br/>22.5 mm x 8.2 mm
Metizolam,Metizolam,"1</li>
</ul>",Metizolam,"Aug 28, 2019","Aug 27, 2019","San Francisco, CA",300 mg<br/>22.4 mm x 8.4 mm
Brown Tar-Like Material,Nordazepam,"12</li>
",Diclazepam,"Aug 28, 2019","Aug 27, 2019","San Francisco, CA",50 mg<br/>22.7 mm x 8.2 mm
White Powder,Flualprazolam,"1</li>
</ul>",Flualprazolam,"Aug 28, 2019","Aug 27, 2019","San Francisco, CA",300 mg<br/>22.5 mm x 8.3 mm
Pink Supreme,MDMA,"1</li>
</ul>",MDMA,"Aug 28, 2019","Aug 27, 2019","Gilroy, CA",447 mg<br/>11.1 mm x 6.1 mm
Tesla,MDMA,"1</li>
</ul>",MDMA,"Aug 28, 2019","Aug 27, 2019",AZ,474 mg<br/>14.2 mm x 6.2 mm
Chunky Colored Crystals,2-fluoro-Deschloroketamine,"1</li>
</ul>",2-Fluorodeschloroketamine,"Aug 28, 2019","Aug 27, 2019","Amsterdam, Netherlands",300 mg
Hase,2C-B,8.3,2C-B,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",11.0&amp;nbspmm x 3.8&amp;nbspmm
Mojo Jojo,2C-B,11.4,2C-B,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",8.6&amp;nbspmm x 4.3&amp;nbspmm
Donkey Kong,MDMA,122,MDMA / Ecstasy,"Aug 28, 2019","Aug 27, 2019","Vienna, Austria",13.3&amp;nbspmm x 5.7&amp;nbspmm
Donkey Kong,MDMA,146,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",13.4&amp;nbspmm x 5.5&amp;nbspmm
6ix9nine,MDMA,134,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.2&amp;nbspmm x 5.0&amp;nbspmm
Heineken,MDMA,143,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.2&amp;nbspmm x 4.8&amp;nbspmm
Nespresso,MDMA,146,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",9.2&amp;nbspmm x 4.9&amp;nbspmm
Philipp Plein,MDMA,159,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",11.5&amp;nbspmm x 4.7&amp;nbspmm
Tomorrowland,MDMA,164,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.0&amp;nbspmm x 5.0&amp;nbspmm
Tomorrowland,MDMA,172,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.0&amp;nbspmm x 5.0&amp;nbspmm
Nintendo,MDMA,165,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.1&amp;nbspmm x 5.1&amp;nbspmm
Broken Tablet,MDMA,"1</li>
</ul>",MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
1Up,MDMA,172,NA,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.4&amp;nbspmm x 5.7&amp;nbspmm
Diamant,MDMA,188,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",9.1&amp;nbspmm x 6.3&amp;nbspmm
Diamant,MDMA,230,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",9.1&amp;nbspmm x 6.3&amp;nbspmm
Tesla,MDMA,193,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",11.4&amp;nbspmm x 5.7&amp;nbspmm
SpongeBob,MDMA,197,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",10.2&amp;nbspmm x 4.5&amp;nbspmm
SoundCloud,MDMA,214,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Dominostein,MDMA,217,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",12.4&amp;nbspmm x 4.7&amp;nbspmm
CBF Brasil,MDMA,226,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",11.1&amp;nbspmm x 4.9&amp;nbspmm
Punisher,MDMA,227,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",14.4&amp;nbspmm x 5.3&amp;nbspmm
Punisher,MDMA,232,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",13.8&amp;nbspmm x 5.2&amp;nbspmm
Rolex,MDMA,235,MDMA / Ecstasy,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Speed,alpha-PVP,"</li>
</ul>",Not Specified,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Speed,4-Methylmethcathinone,"</li>
</ul>",Not Specified,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
LSD Blotter,LSD,13,LSD,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
LSD Blotter,1P-LSD,"</li>
",LSD,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Ketamine,Caffeine,"</li>
",Ketamine,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Mescaline,LSD,51,Mescaline,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
2C-E,Unidentified,"</li>
</ul>",2C-E,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",-
Twitter,2C-B,16.4,2C-B,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",8.0&amp;nbspmm x 2.5&amp;nbspmm
Rockstar,2C-B,18.3,2C-B,"Aug 28, 2019","Aug 28, 2019","Vienna, Austria",8.2&amp;nbspmm x 5.7&amp;nbspmm
Cannabis,4F-MDMB-BINACA,"</li>
</ul>",Cannabis,"Aug 23, 2019","Aug 20, 2019","Innsbruck, Austria",-
Champagner,2C-B,37.2,2C-B,"Aug 23, 2019","Aug 16, 2019","Zurich, Switzerland",228.8 mg<br/>3.6 mm x 13.1 mm
Formel 1,MDMA,180.2,MDMA / Ecstasy,"Aug 23, 2019","Aug 16, 2019","Zurich, Switzerland",541.9 mg<br/>9.2 mm x 9.6 mm
Herz,MDMA,173.8,MDMA / Ecstasy,"Aug 23, 2019","Aug 22, 2019","Zurich, Switzerland",556.5 mg<br/>10.6 mm x 11.1 mm
Ketamine Rocks,BMDP,"1</li>
</ul>",Ketamine,"Aug 21, 2019","Aug 20, 2019","San Francisco, CA",100 mg<br/>21.3 mm x 7.5 mm
Etizolam,Etizolam,"1</li>
</ul>",Etizolam,"Aug 21, 2019","Aug 20, 2019","Fresno, CA",50 mg<br/>21.2 mm x 7.8 mm
VCDON,Acetaminophen,"25</li>
",Not Specified,"Aug 21, 2019","Aug 20, 2019",Online,554 mg<br/>15.2 mm x 8.3 mm
2C-EF,2C-T-2,"2</li>
",2C-EF,"Aug 21, 2019","Aug 20, 2019",Online,50 mg
LSD Blotter,LSD,"3</li>
",LSD,"Aug 21, 2019","Aug 20, 2019",Online,7 mg<br/>6.5 mm x 6.7 mm
Capsule,MDMA,"1</li>
</ul>",DMT,"Aug 21, 2019","Aug 20, 2019",Online,200 mg<br/>21.5 mm x 7.3 mm
Molly,MDMA,"1</li>
</ul>",MDMA,"Aug 21, 2019","Aug 20, 2019","Los Angeles, CA",175 mg<br/>15.1 mm x 5.6 mm
Molly,MDA,"1</li>
</ul>",Molly,"Aug 21, 2019","Aug 20, 2019","Seattle, WA",25 mg
Moonrock Molly,MDMA,"1</li>
</ul>",'Moonrock Molly',"Aug 21, 2019","Aug 20, 2019","Los Angeles, CA",300 mg
Molly,MDMA,"1</li>
</ul>",Molly,"Aug 21, 2019","Aug 20, 2019","New York, NY",100 mg
Baby Dragon,MDMA,"1</li>
</ul>",MDMA,"Aug 21, 2019","Aug 20, 2019","Las Vegas, NV",552 mg<br/>11.7 mm x 14.3 mm
R039,Alprazolam,"2</li>
",2mg Alprazolam,"Aug 21, 2019","Aug 20, 2019",Online,343 mg<br/>5.2 mm x 15.2 mm
S903 Hulks,Alprazolam,"1</li>
</ul>",Xanax / Alprazolam,"Aug 21, 2019","Aug 20, 2019","Online, TX",378 mg<br/>5.1 mm x 15.2 mm
1UP,MDMA,297,MDMA / Ecstasy,"Aug 19, 2019","Aug 19, 2019","Innsbruck, Austria",487.2 mg
Affe,MDMA,170,MDMA / Ecstasy,"Aug 19, 2019","Aug 19, 2019","Innsbruck, Austria",388 mg
Pikachu,MDMA,130.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",455.8 mg<br/>11.6 mm x 13.2 mm
Rolex,MDMA,141.8,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",286 mg<br/>9.1 mm x 3.8 mm
Spiderman,MDMA,171.6,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",351.9 mg<br/>9.8 mm x 9.1 mm
SpongeBob,MDMA,165.9,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",352.1 mg<br/>10.1 mm x 8.6 mm
Wolf,MDMA,169.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",387.2 mg<br/>10.2 mm x 5.0 mm
SoundCloud,MDMA,209.3,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",355.2 mg<br/>11.7 mm x 7.1 mm
Stewie,MDMA,224.4,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",410.8 mg<br/>13.2 mm x 9.0 mm
Tesla,MDMA,223.8,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",445.8 mg
Android,MDMA,178,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",380.7 mg<br/>9.2 mm x 9.2 mm
Angry Birds,MDMA,188.5,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",519.7 mg<br/>12.1 mm x 11.8 mm
Better Call Saul,MDMA,188.1,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",391.8 mg<br/>8.3 mm x 8.2 mm
EA Sports,MDMA,176.3,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",457.3 mg<br/>12.2 mm x 8.2 mm
Euro,MDMA,156.4,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",261.5 mg<br/>8.0 mm x 4.6 mm
Lamborghini,MDMA,198.1,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",8.1&amp;nbspmm x -&amp;nbspmm
Louis Vuitton,MDMA,191.3,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",314 mg<br/>12.3 mm x 6.2 mm
Ninja Turtle,MDMA,124.6,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",344.6 mg<br/>9.2 mm x 9.2 mm
Ninja Turtle,MDMA,120.5,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",345.5 mg<br/>9.2 mm x 9.1 mm
Pharao,MDMA,120,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",502 mg<br/>13.3 mm x 13.2 mm
Philipp Plein,MDMA,181.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",381.3 mg<br/>11.3 mm x - mm
Philipp Plein,MDMA,188,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",380.1 mg<br/>13.0 mm x 11.6 mm
Redbull,MDMA,214.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",502.7 mg<br/>11.8 mm x 7.2 mm
Cunt,MDMA,252.4,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",498 mg<br/>13.4 mm x 9.4 mm
Darth Vader,MDMA,228.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",684.5 mg<br/>12.2 mm x 12.0 mm
Kim Jong-il,MDMA,248.8,MDMA / Ecstasy,"Aug 19, 2019","Aug 16, 2019","Zurich, Switzerland",485.7 mg<br/>11.5 mm x 8.5 mm
Heineken,MDMA,214.1,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",435.5 mg<br/>12.2 mm x 8.0 mm
Heineken,MDMA,197.2,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",457.8 mg
Redbull,MDMA,206.9,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",412.6 mg<br/>11.2 mm x 8.2 mm
Skype,MDMA,124.5,MDMA / Ecstasy,"Aug 19, 2019","Aug 10, 2019","Zurich, Switzerland",402.8 mg
Adderall,Caffeine,"1</li>
",Adderall / Amphetamine+Dextroamphetamine,"Aug 12, 2019","Aug 08, 2019",Russia,336 mg<br/>12.2 mm x 10.2 mm
Red Supreme,Caffeine,"2</li>
",MDMA,"Aug 12, 2019","Aug 08, 2019","Worcester, MA",382 mg<br/>11.3 mm x 6.2 mm
S903,Unidentified,"8</li>
",Xanax,"Aug 12, 2019","Aug 08, 2019","Bell Gardens, CA",255 mg<br/>15.1 mm x 5.0 mm
S903,Etizolam,"1</li>
</ul>",Alprazolam,"Aug 12, 2019","Aug 08, 2019",Online,340 mg<br/>15.8 mm x 4.0 mm
Blue Tesla,MDMA,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019","Melbourne, Victoria, Australia",292 mg<br/>12.2 mm x 10.6 mm
LSD,LSD,"1</li>
</ul>",LSD,"Aug 12, 2019","Aug 08, 2019",HI,25 mg<br/>14.8 mm x 15.0 mm
LSD Blotter,LSD,"1</li>
</ul>",LSD,"Aug 12, 2019","Aug 08, 2019",Northeast,3 mg<br/>4.5 mm x - mm
Green Face,Unidentified,"15</li>
",MDMA,"Aug 12, 2019","Aug 08, 2019","Dallas, TX",104 mg<br/>10.1 mm x 7.4 mm
Purple Tablet,Methamphetamine,"6</li>
",MDMA,"Aug 12, 2019","Aug 08, 2019","Dallas, TX",143 mg<br/>8.1 mm x 3.3 mm
White Powder,MDMA,"1</li>
</ul>",Not Specified,"Aug 12, 2019","Aug 08, 2019","Austin, TX",100 mg
Moon Rocks,Heroin,"1</li>
",Not Specified,"Aug 12, 2019","Aug 08, 2019","San Francisco, CA",50 mg<br/>21.3 mm x 7.5 mm
Ketamine,Ketamine,"18</li>
",Ketamine,"Aug 12, 2019","Aug 08, 2019","Oakland, CA",100 mg<br/>20.9 mm x 8.0 mm
Ksalol Alprazolam,Alprazolam,"1</li>
</ul>",Xanax,"Aug 12, 2019","Aug 08, 2019","Online, Germany",100 mg<br/>6.2 mm x 3.4 mm
Snoo,MDMA,"1</li>
</ul>",Ecstasy,"Aug 12, 2019","Aug 08, 2019","San Diego, CA",468 mg<br/>9.3 mm x 9.3 mm
Molly,Methamphetamine,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019","San Francisco, CA",100 mg
Alprazolam,Etizolam,"1</li>
</ul>",Alprazolam,"Aug 12, 2019","Aug 08, 2019","San Francisco, CA",309 mg<br/>22.6 mm x 8.1 mm
Domino,MDMA,"3</li>
",MDMA,"Aug 12, 2019","Aug 08, 2019","Online, Netherlands",610 mg<br/>13.2 mm x 8.1 mm
Chupa Chups,MDMA,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019","Amsterdam, Netherlands",346 mg<br/>9.5 mm x 4.0 mm
Molly,MDMA,"1</li>
</ul>",Molly,"Aug 12, 2019","Aug 08, 2019","Simi Valley, CA",100 mg
Xanax,Alprazolam,"1</li>
</ul>",Xanax (Alprazolam),"Aug 12, 2019","Aug 08, 2019","Portland, OR",308 mg<br/>15.1 mm x 5.1 mm
Philipp Plein,MDMA,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019","Brussels, Belgium",412 mg<br/>9.3 mm x 5.4 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019",Online,100 mg
Bus,LSD,"1</li>
</ul>",LSD,"Aug 12, 2019","Aug 08, 2019",Online,7 mg<br/>6.6 mm x 6.5 mm
Molly,MDMA,"1</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019","New York, NY",25 mg
MDMA,MDMA,"1</li>
</ul>",MDMA/Molly,"Aug 12, 2019","Aug 08, 2019",Online,100 mg
Supreme,NA,"</li>
</ul>",MDMA,"Aug 12, 2019","Aug 08, 2019",,-
Bugatti,MDMA,236.7,MDMA / Ecstasy,"Aug 09, 2019","Aug 06, 2019","Zurich, Switzerland",410 mg<br/>7.1 mm x 12.0 mm
Maybach,MDMA,185.6,MDMA / Ecstasy,"Aug 09, 2019","Aug 06, 2019","Zurich, Switzerland",333.7 mg<br/>12.5 mm x 9.6 mm
Philipp Plein,MDMA,189.3,MDMA / Ecstasy,"Aug 09, 2019","Aug 06, 2019","Zurich, Switzerland",393.3 mg<br/>13.1 mm x 11.5 mm
Mitsubishi,MDMA,190,MDMA / Ecstasy,"Aug 09, 2019","Aug 09, 2019","Innsbruck, Austria",332.1 mg
Flügel,MDMA,122.2,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",466.6 mg<br/>9.3 mm x 12.6 mm
Donkey Kong,MDMA,165.2,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",475.9 mg<br/>9.2 mm x 13.5 mm
Wario,MDMA,308.8,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",589.9 mg<br/>10.6 mm x 11.3 mm
Philipp Plein,MDMA,244.7,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",444.8 mg<br/>10.7 mm x 12.2 mm
Gary / Schnecke,MDMA,251.6,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",306.5 mg<br/>8.7 mm x 8.8 mm
Bugatti,MDMA,248.1,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",453.5 mg<br/>7.1 mm x 12.1 mm
Bugatti,MDMA,269.9,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",467.3 mg<br/>7.1 mm x 12.1 mm
SpongeBob,MDMA,159.8,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",346.2 mg<br/>8.4 mm x 10.1 mm
Philipp Plein,MDMA,221.6,MDMA / Ecstasy,"Aug 07, 2019","Aug 02, 2019","Zurich, Switzerland",426.4 mg<br/>9.1 mm x 9.1 mm
Red Bull,MDMA,255.4,MDMA / Ecstasy,"Aug 07, 2019","Aug 02, 2019","Zurich, Switzerland",499.9 mg<br/>11.7 mm x 7.1 mm
Punisher,MDMA,165.9,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",450.2 mg<br/>9.8 mm x 13.9 mm
Punisher,MDMA,229,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",497.5 mg<br/>9.9 mm x 13.8 mm
Herz,MDMA,172.5,MDMA / Ecstasy,"Aug 07, 2019","Jul 30, 2019","Zurich, Switzerland",556.4 mg<br/>11.1 mm x 9.1 mm
Red Bull,MDMA,248.9,MDMA / Ecstasy,"Aug 07, 2019","Jul 30, 2019","Zurich, Switzerland",502.9 mg<br/>11.7 mm x 7.2 mm
Champagner,2C-B,15.4,2C-B,"Aug 07, 2019","Jul 30, 2019","Zurich, Switzerland",231.1 mg<br/>13.1 mm x 4.9 mm
Emoji Kothaufen,MDMA,168.2,MDMA / Ecstasy,"Aug 07, 2019","Jul 30, 2019","Zurich, Switzerland",392.1 mg<br/>10.8 mm x 10.1 mm
Tic Tac,MDMA,155.9,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",363.6 mg<br/>7.1 mm x 11.9 mm
Rolex,MDMA,172.1,MDMA / Ecstasy,"Aug 07, 2019","Jul 31, 2019","Basel, Switzerland",353.3 mg<br/>12.1 mm x 13.0 mm
